309.783, 129.489, 3.932,  4.379 False
309.652, 129.489, 3.961,  4.412 False
309.519, 129.489, 3.991,  4.445 False
309.385, 129.489, 4.020,  4.478 False
309.250, 129.489, 4.050,  4.511 False
309.115, 129.489, 4.078,  4.544 False
308.978, 129.489, 4.108,  4.577 False
308.840, 129.489, 4.136,  4.610 False
308.702, 129.489, 4.166,  4.643 False
308.562, 129.489, 4.194,  4.676 False
308.421, 129.489, 4.224,  4.709 False
308.280, 129.489, 4.252,  4.742 False
308.138, 129.489, 4.281,  4.775 False
307.994, 129.489, 4.309,  4.808 False
307.850, 129.489, 4.339,  4.841 False
307.704, 129.489, 4.366,  4.874 False
307.558, 129.489, 4.396,  4.907 False
307.411, 129.489, 4.423,  4.940 False
307.263, 129.489, 4.452,  4.973 False
307.114, 129.489, 4.480,  5.006 False
306.964, 129.489, 4.509,  5.039 False
306.813, 129.489, 4.537,  5.072 False
306.661, 129.489, 4.566,  5.105 False
306.508, 129.489, 4.593,  5.138 False
306.354, 129.489, 4.623,  5.171 False
306.199, 129.489, 4.650,  5.204 False
306.043, 129.489, 4.679,  5.237 False
305.887, 129.489, 4.707,  5.270 False
305.729, 129.489, 4.736,  5.303 False
305.571, 129.489, 4.763,  5.336 False
305.411, 129.489, 4.793,  5.369 False
305.251, 129.489, 4.820,  5.402 False
305.089, 129.489, 4.849,  5.435 False
304.927, 129.490, 4.876,  5.468 False
304.764, 129.490, 4.905,  5.501 False
304.599, 129.490, 4.933,  5.534 False
304.434, 129.490, 4.962,  5.567 False
304.268, 129.490, 4.989,  5.600 False
304.101, 129.490, 5.019,  5.633 False
303.933, 129.490, 5.045,  5.666 False
303.764, 129.490, 5.075,  5.699 False
303.594, 129.490, 5.102,  5.732 False
303.424, 129.488, 5.132,  5.765 False
303.252, 129.488, 5.159,  5.798 False
303.079, 129.488, 5.188,  5.831 False
302.906, 129.488, 5.203,  5.864 False
302.733, 129.487, 5.201,  5.897 False
302.560, 129.487, 5.194,  5.930 False
302.387, 129.487, 5.195,  5.963 False
302.214, 129.487, 5.204,  5.996 False
302.040, 129.487, 5.224,  6.029 False
301.865, 129.487, 5.251,  6.062 False
301.689, 129.487, 5.286,  6.095 False
301.512, 129.486, 5.323,  6.128 False
301.333, 129.486, 5.365,  6.161 False
301.153, 129.486, 5.406,  6.194 False
300.972, 129.486, 5.449,  6.227 False
300.789, 129.486, 5.488,  6.260 False
300.605, 129.486, 5.527,  6.293 False
300.420, 129.486, 5.563,  6.326 False
300.233, 129.486, 5.600,  6.359 False
300.046, 129.486, 5.633,  6.392 False
299.857, 129.486, 5.667,  6.425 False
299.668, 129.486, 5.699,  6.458 False
299.477, 129.485, 5.732,  6.491 False
299.285, 129.485, 5.763,  6.524 False
299.092, 129.485, 5.796,  6.557 False
298.898, 129.485, 5.826,  6.590 False
298.703, 129.485, 5.858,  6.623 False
298.507, 129.485, 5.888,  6.656 False
298.310, 129.485, 5.921,  6.689 False
298.112, 129.485, 5.950,  6.722 False
297.913, 129.485, 5.982,  6.755 False
297.713, 129.485, 6.011,  6.788 False
297.512, 129.485, 6.043,  6.821 False
297.310, 129.485, 6.072,  6.854 False
297.107, 129.485, 6.103,  6.887 False
296.903, 129.485, 6.131,  6.920 False
296.698, 129.485, 6.162,  6.953 False
296.492, 129.485, 6.190,  6.986 False
296.285, 129.485, 6.221,  7.019 False
296.077, 129.489, 6.242,  7.052 False
295.868, 129.497, 6.269,  7.085 False
295.659, 129.508, 6.301,  7.118 False
295.448, 129.520, 6.339,  7.151 False
295.236, 129.533, 6.370,  7.184 False
295.023, 129.549, 6.404,  7.217 False
294.810, 129.566, 6.433,  7.250 False
294.595, 129.584, 6.464,  7.283 False
294.380, 129.605, 6.489,  7.316 False
294.164, 129.626, 6.518,  7.349 False
293.948, 129.650, 6.542,  7.382 False
293.730, 129.675, 6.570,  7.415 False
293.512, 129.702, 6.596,  7.448 False
293.294, 129.730, 6.626,  7.481 False
293.074, 129.756, 6.656,  7.514 False
292.852, 129.781, 6.688,  7.547 False
292.630, 129.807, 6.715,  7.580 False
292.407, 129.834, 6.742,  7.613 False
292.184, 129.861, 6.766,  7.646 False
291.959, 129.888, 6.792,  7.679 False
291.734, 129.916, 6.816,  7.712 False
291.508, 129.945, 6.843,  7.745 False
291.281, 129.974, 6.868,  7.778 False
291.054, 130.003, 6.896,  7.811 False
290.825, 130.032, 6.922,  7.844 False
290.596, 130.062, 6.951,  7.877 False
290.365, 130.091, 6.978,  7.910 False
290.133, 130.119, 7.007,  7.943 False
289.901, 130.148, 7.033,  7.976 False
289.668, 130.177, 7.062,  8.009 False
289.433, 130.205, 7.088,  8.042 False
289.198, 130.234, 7.117,  8.075 False
288.962, 130.262, 7.142,  8.108 False
288.725, 130.291, 7.171,  8.141 False
288.487, 130.319, 7.196,  8.174 False
288.248, 130.347, 7.225,  8.207 False
288.008, 130.375, 7.251,  8.240 False
287.768, 130.403, 7.280,  8.273 False
287.526, 130.430, 7.305,  8.306 False
287.283, 130.458, 7.334,  8.339 False
287.039, 130.484, 7.360,  8.372 False
286.795, 130.510, 7.389,  8.405 False
286.549, 130.535, 7.416,  8.438 False
286.302, 130.559, 7.445,  8.471 False
286.055, 130.584, 7.471,  8.504 False
285.806, 130.607, 7.500,  8.537 False
285.557, 130.630, 7.525,  8.570 False
285.306, 130.652, 7.553,  8.603 False
285.055, 130.674, 7.578,  8.636 False
284.802, 130.694, 7.606,  8.669 False
284.549, 130.714, 7.631,  8.702 False
284.294, 130.734, 7.661,  8.735 False
284.039, 130.753, 7.687,  8.768 False
283.783, 130.772, 7.717,  8.801 False
283.526, 130.790, 7.743,  8.834 False
283.267, 130.808, 7.771,  8.867 False
283.008, 130.824, 7.796,  8.900 False
282.748, 130.841, 7.824,  8.933 False
282.487, 130.856, 7.848,  8.966 False
282.226, 130.871, 7.877,  8.999 False
281.963, 130.885, 7.902,  9.032 False
281.699, 130.899, 7.930,  9.065 False
281.434, 130.912, 7.955,  9.098 False
281.169, 130.924, 7.984,  9.131 False
280.902, 130.932, 8.002,  9.164 False
280.635, 130.935, 8.024,  9.197 False
280.367, 130.936, 8.049,  9.230 False
280.098, 130.935, 8.080,  9.263 False
279.828, 130.931, 8.109,  9.296 False
279.557, 130.924, 8.138,  9.329 False
279.285, 130.914, 8.165,  9.362 False
279.013, 130.902, 8.195,  9.395 False
278.739, 130.887, 8.221,  9.428 False
278.465, 130.870, 8.250,  9.461 False
278.190, 130.853, 8.278,  9.494 False
277.914, 130.835, 8.301,  9.527 False
277.638, 130.816, 8.317,  9.560 False
277.362, 130.795, 8.329,  9.593 False
277.085, 130.773, 8.339,  9.626 False
276.808, 130.750, 8.346,  9.659 False
276.531, 130.725, 8.352,  9.692 False
276.254, 130.698, 8.358,  9.725 False
275.977, 130.671, 8.362,  9.758 False
275.699, 130.642, 8.366,  9.791 False
275.422, 130.611, 8.370,  9.824 False
275.145, 130.580, 8.373,  9.857 False
274.868, 130.550, 8.376,  9.890 False
274.590, 130.520, 8.378,  9.923 False
274.313, 130.490, 8.380,  9.956 False
274.035, 130.459, 8.381,  9.989 False
273.757, 130.428, 8.383, 10.022 False
273.480, 130.397, 8.384, 10.055 False
273.202, 130.366, 8.384, 10.088 False
272.925, 130.334, 8.385, 10.121 False
272.647, 130.303, 8.386, 10.154 False
272.369, 130.272, 8.386, 10.187 False
272.091, 130.241, 8.386, 10.220 False
271.813, 130.211, 8.386, 10.253 False
271.536, 130.181, 8.386, 10.286 False
271.258, 130.151, 8.386, 10.319 False
270.980, 130.121, 8.386, 10.352 False
270.702, 130.091, 8.386, 10.385 False
270.424, 130.062, 8.385, 10.418 False
270.146, 130.034, 8.385, 10.451 False
269.868, 130.005, 8.384, 10.484 False
269.590, 129.977, 8.384, 10.517 False
269.312, 129.950, 8.383, 10.550 False
269.034, 129.923, 8.382, 10.583 False
268.755, 129.898, 8.382, 10.616 False
268.477, 129.873, 8.381, 10.649 False
268.199, 129.848, 8.380, 10.682 False
267.920, 129.825, 8.380, 10.715 False
267.642, 129.802, 8.379, 10.748 False
267.364, 129.779, 8.378, 10.781 False
267.085, 129.758, 8.378, 10.814 False
266.807, 129.737, 8.377, 10.847 False
266.528, 129.717, 8.376, 10.880 False
266.250, 129.698, 8.375, 10.913 False
265.971, 129.679, 8.375, 10.946 False
265.693, 129.659, 8.374, 10.979 False
265.414, 129.641, 8.373, 11.012 False
265.136, 129.624, 8.372, 11.045 False
264.857, 129.608, 8.372, 11.078 False
264.579, 129.591, 8.371, 11.111 False
264.300, 129.576, 8.370, 11.144 False
264.021, 129.561, 8.369, 11.177 False
263.743, 129.547, 8.368, 11.210 False
263.464, 129.534, 8.368, 11.243 False
263.186, 129.522, 8.367, 11.276 False
262.907, 129.510, 8.366, 11.309 False
262.628, 129.500, 8.366, 11.342 False
262.350, 129.488, 8.365, 11.375 False
262.071, 129.478, 8.364, 11.408 False
261.792, 129.468, 8.364, 11.441 False
261.514, 129.458, 8.363, 11.474 False
261.235, 129.449, 8.362, 11.507 False
260.957, 129.441, 8.362, 11.540 False
260.678, 129.433, 8.361, 11.573 False
260.399, 129.426, 8.360, 11.606 False
260.121, 129.420, 8.360, 11.639 False
259.842, 129.415, 8.359, 11.672 False
259.564, 129.409, 8.359, 11.705 False
259.285, 129.403, 8.358, 11.738 False
259.007, 129.398, 8.358, 11.771 False
258.728, 129.392, 8.357, 11.804 False
258.449, 129.388, 8.357, 11.837 False
258.171, 129.383, 8.356, 11.870 False
257.892, 129.379, 8.355, 11.903 False
257.614, 129.375, 8.355, 11.936 False
257.336, 129.372, 8.354, 11.969 False
257.057, 129.370, 8.353, 12.002 False
256.779, 129.368, 8.353, 12.035 False
256.500, 129.367, 8.352, 12.068 False
256.222, 129.365, 8.352, 12.101 False
255.943, 129.364, 8.352, 12.134 False
255.665, 129.363, 8.351, 12.167 False
255.387, 129.362, 8.351, 12.200 False
255.108, 129.362, 8.351, 12.233 False
254.830, 129.361, 8.350, 12.266 False
254.552, 129.361, 8.350, 12.299 False
254.273, 129.361, 8.349, 12.332 False
253.995, 129.362, 8.349, 12.365 False
253.717, 129.362, 8.348, 12.398 False
253.438, 129.363, 8.348, 12.431 False
253.160, 129.363, 8.348, 12.464 False
252.882, 129.364, 8.347, 12.497 False
252.604, 129.365, 8.347, 12.530 False
252.325, 129.366, 8.347, 12.563 False
252.047, 129.367, 8.346, 12.596 False
251.769, 129.368, 8.346, 12.629 False
251.491, 129.370, 8.346, 12.662 False
251.213, 129.371, 8.345, 12.695 False
250.935, 129.373, 8.345, 12.728 False
250.656, 129.374, 8.345, 12.761 False
250.378, 129.376, 8.345, 12.794 False
250.100, 129.378, 8.344, 12.827 False
249.822, 129.380, 8.344, 12.860 False
249.544, 129.382, 8.344, 12.893 False
249.266, 129.384, 8.343, 12.926 False
248.988, 129.386, 8.343, 12.959 False
248.710, 129.388, 8.343, 12.992 False
248.431, 129.390, 8.343, 13.025 False
248.153, 129.392, 8.342, 13.058 False
247.875, 129.394, 8.342, 13.091 False
247.597, 129.397, 8.342, 13.124 False
247.319, 129.399, 8.342, 13.157 False
247.041, 129.401, 8.341, 13.190 False
246.763, 129.404, 8.341, 13.223 False
246.485, 129.406, 8.341, 13.256 False
246.207, 129.409, 8.341, 13.289 False
245.929, 129.411, 8.341, 13.322 False
245.651, 129.414, 8.340, 13.355 False
245.373, 129.416, 8.340, 13.388 False
245.095, 129.419, 8.340, 13.421 False
244.817, 129.421, 8.340, 13.454 False
244.539, 129.423, 8.340, 13.487 False
244.261, 129.426, 8.340, 13.520 False
243.983, 129.428, 8.339, 13.553 False
243.705, 129.431, 8.339, 13.586 False
243.427, 129.433, 8.339, 13.619 False
243.149, 129.436, 8.339, 13.652 False
242.871, 129.438, 8.339, 13.685 False
242.593, 129.440, 8.339, 13.718 False
242.315, 129.443, 8.339, 13.751 False
242.037, 129.445, 8.338, 13.784 False
241.760, 129.447, 8.338, 13.817 False
241.482, 129.450, 8.338, 13.850 False
241.204, 129.452, 8.338, 13.883 False
240.926, 129.454, 8.338, 13.916 False
240.648, 129.456, 8.338, 13.949 False
240.370, 129.458, 8.338, 13.982 False
240.092, 129.460, 8.337, 14.015 False
239.814, 129.462, 8.337, 14.048 False
239.536, 129.465, 8.337, 14.081 False
239.258, 129.466, 8.337, 14.114 False
238.980, 129.468, 8.337, 14.147 False
238.703, 129.470, 8.337, 14.180 False
238.425, 129.472, 8.337, 14.213 False
238.147, 129.474, 8.337, 14.246 False
237.869, 129.476, 8.337, 14.279 False
237.591, 129.477, 8.337, 14.312 False
237.313, 129.479, 8.336, 14.345 False
237.035, 129.481, 8.336, 14.378 False
236.757, 129.482, 8.336, 14.411 False
236.479, 129.484, 8.336, 14.444 False
236.202, 129.486, 8.336, 14.477 False
235.924, 129.487, 8.336, 14.510 False
235.646, 129.488, 8.336, 14.543 False
235.368, 129.490, 8.336, 14.576 False
235.090, 129.491, 8.336, 14.609 False
234.812, 129.492, 8.336, 14.642 False
234.534, 129.493, 8.335, 14.675 False
234.257, 129.493, 8.335, 14.708 False
233.979, 129.494, 8.335, 14.741 False
233.701, 129.495, 8.335, 14.774 False
233.423, 129.496, 8.335, 14.807 False
233.145, 129.497, 8.335, 14.840 False
232.867, 129.497, 8.335, 14.873 False
232.590, 129.498, 8.335, 14.906 False
232.312, 129.499, 8.335, 14.939 False
232.034, 129.499, 8.335, 14.972 False
231.756, 129.500, 8.335, 15.005 False
231.478, 129.500, 8.335, 15.038 False
231.200, 129.501, 8.335, 15.071 False
230.922, 129.501, 8.335, 15.104 False
230.645, 129.502, 8.335, 15.137 False
230.367, 129.502, 8.335, 15.170 False
230.089, 129.503, 8.335, 15.203 False
229.811, 129.503, 8.335, 15.236 False
229.533, 129.503, 8.335, 15.269 False
229.256, 129.504, 8.335, 15.302 False
228.978, 129.504, 8.335, 15.335 False
228.700, 129.504, 8.335, 15.368 False
228.422, 129.505, 8.335, 15.401 False
228.144, 129.505, 8.335, 15.434 False
227.867, 129.505, 8.334, 15.467 False
227.589, 129.505, 8.334, 15.500 False
227.311, 129.505, 8.334, 15.533 False
227.033, 129.505, 8.334, 15.566 False
226.755, 129.505, 8.334, 15.599 False
226.477, 129.505, 8.334, 15.632 False
226.200, 129.505, 8.334, 15.665 False
225.922, 129.505, 8.334, 15.698 False
225.644, 129.505, 8.334, 15.731 False
225.366, 129.505, 8.334, 15.764 False
225.088, 129.505, 8.334, 15.797 False
224.811, 129.505, 8.334, 15.830 False
224.533, 129.505, 8.334, 15.863 False
224.255, 129.505, 8.334, 15.896 False
223.977, 129.505, 8.334, 15.929 False
223.699, 129.505, 8.334, 15.962 False
223.421, 129.505, 8.334, 15.995 False
